train_seq_length,validation_length,test_length,final_train_loss,final_val_loss,final_test_loss
10,55,55,6.454928552557249e-06,0.01896553859114647,0.01896553859114647
15,52,53,1.0276229659211822e-05,4.432708738022484e-05,4.3733689381042495e-05
30,45,45,7.327177627303172e-06,5.175891601538751e-06,5.175891601538751e-06
