train_seq_length,validation_length,test_length,final_train_loss,final_val_loss,final_test_loss
10,55,55,0.000743226963095367,0.004221805837005377,0.004221805837005377
15,52,53,0.00011682299373205751,5.1634280680445954e-05,5.1514380174921826e-05
