train_seq_length,validation_length,test_length,final_train_loss,final_val_loss,final_test_loss
10,55,55,2.3045950001687743e-06,0.07212140411138535,0.07212140411138535
15,52,53,3.7700499433412915e-06,8.059651736402884e-05,7.93317158240825e-05
30,45,45,4.347160938777961e-06,1.4533018202200765e-06,1.4533018202200765e-06
