train_seq_length,validation_length,test_length,final_train_loss,final_val_loss,final_test_loss
10,55,55,2.3249976948136464e-06,7.700881724304054e-06,7.700881724304054e-06
15,52,53,1.224858351633884e-06,1.2807014400095795e-06,1.2851634210164775e-06
