train_seq_length,extrapolation_length,final_train_loss,final_test_loss,final_extrapolation_loss
10,110,1.0441080121381674e-05,9.367679012939334e-06,0.04713325574994087
15,105,5.704898740077624e-06,2.739369392656954e-06,7.154897502914537e-06
30,90,2.7030828277929686e-06,1.7074847846743069e-06,2.5444830953347264e-06
